representation,clustering_method,cluster_id,is_noise,size,top_tokens,top_sources,example_messages
tfidf,agglomerative,10,False,182,num_token; reg_binary; path_token; source_reg; hkey_local_machine; inf; reg_sz; reg_multi_sz; owners; adml; machine; key,REG:182,[HKEY_LOCAL_MACHINE\System\DriverDatabase\DeviceIds\PCI\VEN_8086&DEV_24D3] machine.inf: [REG_BINARY] (4 bytes) || [HKEY_LOCAL_MACHINE\System\DriverDatabase\DeviceIds\PCI\VEN_8086&DEV_7AE1] ufxsynopsys.inf: [REG_BINARY] (4 bytes) || [HKEY_LOCAL_MACHINE\System\DriverDatabase\DeviceIds\PCI\VEN_1000&DEV_0058] lsi_sas.inf: [REG_BINARY] (4 bytes)
tfidf,agglomerative,11,False,94,path_token; source_file; cache; iis; express; directory; app; certification; kit; sdk; store; apps,FILE:94,NTFS:\Program Files (x86)\IIS Express\fr\iisexpresstray.resources.dll Type: file || NTFS:\ProgramData\Windows App Certification Kit\pt-br Type: directory || NTFS:\Users\User\AppData\Local\Microsoft\Edge\User Data\Default\Code Cache\js\474eb29510f75d76_0 Type: file
tfidf,agglomerative,12,False,146,num_token; update; source_file; json; parent; source; reason; state; temp; usn_reason_file_create; usn_reason_data_extend; usn_reason_close,FILE:146,state.packages.json File reference: 216429-8 Parent file reference: 41833-2 Update source: Update reason: USN_REASON_RENAME_NEW_NAME USN_REASON_CLOSE || state.json.temp File reference: 217894-3 Parent file reference: 41839-2 Update source: Update reason: USN_REASON_RENAME_OLD_NAME || state.packages.json.temp File reference: 244128-2 Parent file reference: 41833-2 Update source: Update reason: USN_REASON_DATA_EXTEND USN_REASON_FILE_CREATE
tfidf,agglomerative,13,False,151,num_token; update; source_file; lib; parent; source; reason; usn_reason_file_create; usn_reason_data_extend; usn_reason_close; vcomp; vcruntime,FILE:151,ksuser.lib File reference: 214124-1 Parent file reference: 206312-1 Update source: Update reason: USN_REASON_FILE_CREATE || windows.ai.machinelearning.lib File reference: 207329-1 Parent file reference: 206315-1 Update source: Update reason: USN_REASON_FILE_CREATE || comsuppw.lib File reference: 203240-1 Parent file reference: 202646-1 Update source: Update reason: USN_REASON_DATA_EXTEND USN_REASON_FILE_CREATE USN_REASON_CLO
tfidf,agglomerative,14,False,192,num_token; update; source_file; hex_token; parent; source; reason; usn_reason_rename_new_name; usn_reason_file_create; usn_reason_close; usn_reason_data_overwrite; usn_reason_file_delete,FILE:192,0004000000020C410DC7D9A9 File reference: 134209-4 Parent file reference: 29-1 Update source: Update reason: USN_REASON_FILE_DELETE USN_REASON_RENAME_NEW_NAME US || BA0FE14DD445FDB45194FE590D33340BD92DD8AB File reference: 246224-1 Parent file reference: 244354-3 Update source: Update reason: USN_REASON_FILE_CREATE || D5BCB1FA0C152766336FA73D73AAAEC56BDE24C1 File reference: 247030-1 Parent file reference: 244354-3 Update source: Update reason: USN_REASON_FILE_CREATE
tfidf,agglomerative,15,False,89,reg_sz; path_token; source_reg; displaydescription; display; displayname; smisettings; device; specifies; allow; block; connections,REG:89,[\Connections\Cellular\Connection\RATApplicability\EnableFor5GSA\Validation\Values\0] Display: [REG_SZ] Disabled || [\SMISettings\KeyboardFilter\PredefinedKeyFilters\WinBreak\Validation\Values\Allowed] Display: [REG_SZ] Allow || [\SMISettings\KeyboardFilter\PredefinedKeyFilters\Alt\Validation\Values\Allowed] Display: [REG_SZ] Allow
tfidf,agglomerative,16,False,389,num_token; update; source_file; png; parent; source; reason; usn_reason_security_change; usn_reason_close; scale; targetsize; _contrast,FILE:389,AlarmsAppList.targetsize-80_altform-unplated.png File reference: 36855-1 Parent file reference: 501-1 Update source: Update reason: USN_REASON_SECURITY_CHANGE || VoiceRecorderAppList.targetsize-20_contrast-black.png File reference: 37684-1 Parent file reference: 590-1 Update source: Update reason: USN_REASON_SECURITY_CHA || Watercolor.png File reference: 136932-2 Parent file reference: 136913-2 Update source: Update reason: USN_REASON_SECURITY_CHANGE
tfidf,agglomerative,17,False,1244,path_token; source_file; kits; sdks; directory; certification; kit; verifier; arm; external; package; desktopeditions,FILE:1244,NTFS:\Program Files (x86)\Windows Kits\10\Include\10.0.22621.0\um\asysta.idl Type: file || NTFS:\Program Files (x86)\Windows Kits\10\References\10.0.22621.0\Windows.Security.Isolation.Isolatedwindowsenvironmentcontract\4.0.0.0\zh-hant Type: directory || NTFS:\Program Files (x86)\Windows Kits\10\Include\10.0.22621.0\um\LicenseProtection.h Type: file
tfidf,agglomerative,18,False,96,num_token; path_token; update; source_file; wekyb; bbwe; server; source; sql; parent; reason; _neutral_split,FILE:80; REG:14; EVT:2,NTFS:\Program Files\Microsoft Visual Studio\2022\Community\Licenses\SQL Server\Microsoft SQL Server Data Tools.rtf Type: file || NTFS:\Program Files\Microsoft SQL Server\150\LocalDB\Binn\Resources\1028\xplog70.rll Type: file || Microsoft.GetHelp_10.2201.421.0_neutral_~_8wekyb3d8bbwe File reference: 42517-8 Parent file reference: 1791-1 Update source: Update reason: USN_REASON_SECURITY_
tfidf,agglomerative,19,False,225,num_token; hex_token; source_evt; provider; identifier; ed; source; shell; core; strings; computer; record,EVT:225,[62443 / 0xf3eb] Provider identifier: {30336ed4-e327-447c-9de0-51b652c86108} Source Name: Microsoft-Windows-Shell-Core Strings: ['SetDefault: Association=.ogv P || [28018 / 0x6d72] Provider identifier: {30336ed4-e327-447c-9de0-51b652c86108} Source Name: Microsoft-Windows-Shell-Core Strings: [] Computer Name: WinDev2311Eval || [28019 / 0x6d73] Provider identifier: {30336ed4-e327-447c-9de0-51b652c86108} Source Name: Microsoft-Windows-Shell-Core Strings: [] Computer Name: WinDev2311Eval
tfidf,agglomerative,20,False,117,num_token; update; source_file; parent; source; reason; usn_reason_basic_info_change; usn_reason_close; usn_reason_data_extend; usn_reason_file_create; usn_reason_named_data_extend; usn_reason_reparse_point_change,FILE:117,3bed5.rbf File reference: 200105-2 Parent file reference: 221836-35 Update source: Update reason: USN_REASON_BASIC_INFO_CHANGE USN_REASON_CLOSE || onDemandFiles.svg File reference: 135257-5 Parent file reference: 134675-6 Update source: Update reason: USN_REASON_DATA_EXTEND USN_REASON_NAMED_DATA_EXTEND USN || 3bd2b.rbf File reference: 191318-2 Parent file reference: 197479-5 Update source: Update reason: USN_REASON_RENAME_NEW_NAME USN_REASON_BASIC_INFO_CHANGE USN_REA
tfidf,agglomerative,21,False,196,num_token; hex_token; path_token; source_evt; provider; identifier; source; strings; onecoreuap; computer; windeveval; record,EVT:184; OLECF:12,[8002 / 0x1f42] Provider identifier: {9c2a37f3-e5fd-5cae-bcd1-43dafeee1ff0} Source Name: Microsoft-Windows-Store Strings: ['No user tickets captured for S-1-5-1 || [2007 / 0x07d7] Provider identifier: {e0c6f6de-258a-50e0-ac1a-103482d118bc} Source Name: Microsoft-Windows-Install-Agent Strings: ['InstallService InProc Caller || [8001 / 0x1f41] Provider identifier: {9c2a37f3-e5fd-5cae-bcd1-43dafeee1ff0} Source Name: Microsoft-Windows-Store Strings: ['License Response: 1 leases 1 keys fo
tfidf,agglomerative,22,False,113,reg_sz; path_token; num_token; reg_dword_le; source_reg; hkey_local_machine; hex_token; dllpath; synctype; photo; exe; media,REG:113,[HKEY_LOCAL_MACHINE\Software\Classes\AppID\{69B7fe84-6361-4423-b948-1d64820b1e96}] DllSurrogate: [REG_SZ] (empty) RunAs: [REG_SZ] Interactive User || [HKEY_LOCAL_MACHINE\System\DriverDatabase\DriverPackages\hidbatt.inf_amd64_6c31efd7897a336b\Strings] hid_device_battery.devicedesc: [REG_SZ] HID UPS Battery msf || [HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Network\{4d36e975-e325-11ce-bfc1-08002be10318}\{56465050-5343-5456-47F9-EC637C282991}] ComponentId: [REG_SZ] ne
tfidf,agglomerative,23,False,273,num_token; update; source_file; dll; parent; source; reason; usn_reason_file_create; api; ms; win; usn_reason_close,FILE:273,System.IO.FileSystem.Primitives.dll File reference: 238246-1 Parent file reference: 221974-1 Update source: Update reason: USN_REASON_FILE_CREATE || McgEngine.resources.dll File reference: 224926-1 Parent file reference: 223017-1 Update source: Update reason: USN_REASON_FILE_CREATE || dxil.dll File reference: 205451-1 Parent file reference: 205450-1 Update source: Update reason: USN_REASON_FILE_CREATE
tfidf,agglomerative,24,False,182,path_token; path; source_reg; reg_sz; num_token; reg_dword_le; sequencemap; level; power; action; hkey_local_machine; policies,REG:173; LOG:8; LNK:1,[\Location\V2UPL1\MPC\Apply\Csp] Action: [REG_DWORD_LE] 1 Path: [REG_SZ] SUPL/V2UPL1/MPC || [\SequenceMap\8bc38e7d-4172-59ed-af0b-0933687ff4a7] Level: [REG_DWORD_LE] 2 Path: [REG_SZ] /SecureStart/LsaCfgFlags RequiresReboot: [REG_DWORD_LE] 1 || [\SequenceMap\c0586612-bcd2-58b9-a5a8-7293bb079736] Level: [REG_DWORD_LE] 2 Path: [REG_SZ] /SecureStart/EnableVirtualizationBasedSecurity
tfidf,agglomerative,25,False,198,path_token; explorer; source_file; visual; studio; num_token; compatibility; reg_sz; source_reg; hkey_local_machine; reg_dword_le; directory,FILE:135; REG:63,NTFS:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\Microsoft.TeamFoundation.WorkItem || NTFS:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\Git\mingw64\bin\blocked-file-util || NTFS:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\pl\Microsoft.TeamFoundation.Deplo
tfidf,agglomerative,26,False,337,num_token; path_token; version; source_file; neutral; reg_sz; hex_token; directory; productarch; culture; publickeytoken; source_reg,FILE:255; REG:82,NTFS:\ProgramData\Microsoft\VisualStudio\Packages\Android.Manifest-8.0.100.34.0.43 version=34.0.43 machinearch=x64 Type: directory || [HKEY_LOCAL_MACHINE\Software\WOW6432Node\Microsoft\.NETFramework\v2.0.50727\NGenService\Roots\Microsoft.Windows.Diagnosis.SDHost Version=10.0.0.0 Culture=Neutra || NTFS:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.Connected.Auto version=17.8.34227.203\payload.vsix Type: file
tfidf,agglomerative,27,False,160,path_token; reg_sz; source_reg; hkey_local_machine; source_file; defender; num_token; hex_token; reg_multi_sz; directory; inf_amd; nt,REG:118; FILE:42,"NTFS:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23100.2009-0\tt-RU\mpuxagent.dll.mui Type: file || [HKEY_LOCAL_MACHINE\Software\Microsoft\Function Discovery\Categories\Provider\Microsoft.Base.Publication] 00000000: [REG_SZ] <provider type=""{681FD532-7EC2-4548 || [HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\57A4F88456A445644ACE4D7F495418E1\Patches] AllPatches: [REG_SZ"
tfidf,agglomerative,28,False,227,source_reg; policies; path_token; reg_sz; num_token; reg_dword_le; display; policy; setting; displaydescription; applypasses; minimum,REG:227,[\Policies\Start\HideLock\Validation\Values\1] Display: [REG_SZ] Yes || [\Policies\Defender\AllowCloudProtection\Validation] Maximum: [REG_SZ] 1 Minimum: [REG_SZ] 0 || [\Policies\Update\SetPolicyDrivenUpdateSourceForFeatureUpdates\Validation\Values\1] Display: [REG_SZ] Detect download and deploy Feature Updates from Windows Se
tfidf,agglomerative,29,False,532,num_token; reg_binary; ad; bf; reg_dword_le; source_reg; path_token; deriveddata; identity; oyment; dll; deployment_,REG:532,[\DerivedData\Components\amd64_microsoft-windows-a..ev-wow64-deployment_31bf3856ad364e35_10.0.22621.2506_none_5e093d4add647bbe] CF: [REG_DWORD_LE] 12 S256H: [RE || [\DerivedData\Components\amd64_microsoft-windows-security-spp-event_31bf3856ad364e35_10.0.22621.1_none_00c3e55f2fbf47ca] S256H: [REG_BINARY] (32 bytes) c!micros || [\DerivedData\Components\x86_microsoft-windows-i..otmailapi.resources_31bf3856ad364e35_10.0.22621.1_en-us_aab561c8842aba4b] S256H: [REG_BINARY] (32 bytes) c!mic
tfidf,agglomerative,30,False,603,num_token; reg_dword_le; path_token; reg_sz; source_reg; hkey_local_machine; reg_binary; hex_token; behavior; mergealgorithm; policytype; software,REG:603,[HKEY_LOCAL_MACHINE\Software\Microsoft\Input\Locales\loc_0438\InputMethods] Country: [REG_DWORD_LE] 0 Current: [REG_DWORD_LE] 1 EntryCount: [REG_DWORD_LE] 1 Lan || [\Personalization\LockScreenImageUrl] Name: [REG_SZ] LockScreenImageUrl Type: [REG_DWORD_LE] 3 || [HKEY_LOCAL_MACHINE\Software\Microsoft\PolicyManager\default\ADMX_Cpls\UseDefaultTile] Behavior: [REG_DWORD_LE] 96 RegKeyPathRedirect: [REG_SZ] Software\Microso
tfidf,agglomerative,31,False,312,num_token; update; source_file; parent; source; reason; usn_reason_file_delete; usn_reason_close; hex_token; dat; usn_reason_file_create; json,FILE:312,ExtensionActivityComp File reference: 192425-2 Parent file reference: 196688-1 Update source: Update reason: USN_REASON_FILE_DELETE USN_REASON_CLOSE || stack20x20.png File reference: 176868-1 Parent file reference: 176799-1 Update source: Update reason: USN_REASON_FILE_DELETE USN_REASON_CLOSE || style.js File reference: 176788-1 Parent file reference: 176776-1 Update source: Update reason: USN_REASON_FILE_DELETE USN_REASON_CLOSE
tfidf,agglomerative,32,False,161,path_token; assemblies; source_file; source_reg; hkey_local_machine; hex_token; reg_sz; directory; pc,FILE:135; REG:26,NTFS:\Program Files (x86)\Reference Assemblies\Microsoft\Framework\.NETFramework\v4.5.1\System.Data.Linq.xml Type: file || [HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Components\9F442E3DEC466CC3DBEF64A42F1490AB] A1A3C9A1B665AFC4B87217CF2 || NTFS:\Program Files (x86)\Reference Assemblies\Microsoft\Framework\.NETFramework\v4.6.1\System.Xml.Linq.xml Type: file
tfidf,agglomerative,33,False,490,source_reg; driverdatabase; path_token; inf; reg_binary; num_token; rtcx; monitor; reg_sz; netmyk; inf_amd; netl,REG:490,[\DriverDatabase\DeviceIds\USB\VID_0DF6&PID_0072] netax88179_178a.inf: [REG_BINARY] (4 bytes) || [\DriverDatabase\DeviceIds\PCMCIA\AIWA_CO._LTD._MODEM-PV-JF3356-014E-0088] mdmaiwa4.inf: [REG_BINARY] (4 bytes) || [\DriverDatabase\DeviceIds\PCI\VEN_8086&DEV_A0F0&SUBSYS_02648086] netwtw10.inf: [REG_BINARY] (4 bytes)
tfidf,agglomerative,34,False,391,reg_sz; path_token; hex_token; source_reg; hkey_local_machine; num_token; ba; aa; bb; bf; ec; ad,REG:391,[HKEY_LOCAL_MACHINE\Software\Classes\WOW6432Node\Interface\{81495AA4-4476-577F-BF88-7FE8A1286444}\ProxyStubClsid32] (default): [REG_SZ] {E1BA88BA-7A83-421A-A05D || [HKEY_LOCAL_MACHINE\Software\Classes\Interface\{89A9562A-E472-4DA5-929C-DE61711DD261}\ProxyStubClsid32] (default): [REG_SZ] {8BDCE735-A077-406B-B526-F1465DD4D35 || [HKEY_LOCAL_MACHINE\Software\Classes\ImeKeyEventHandler1041\CLSID] (default): [REG_SZ] {a38f3677-32fc-4dac-99b3-d804b193d2c4}
tfidf,agglomerative,35,False,723,path_token; hex_token; reg_sz; source_reg; hkey_local_machine; sdks; express; iis; sql; server; shared; num_token,REG:723,[HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Components\080403D1FBCCDEF5EB6789F84F48E520] B024657CC19C014408294FC94 || [HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Components\315B5DDC16596DF5C99D8B0CC173881E] B024657CC19C014408294FC94 || [HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Components\A700D96745990B55FB90ED84EE2C07F7] 54D2C9386FDDC2346A2A6CFAE
tfidf,agglomerative,36,False,137,num_token; update; source_file; parent; source; reason; usn_reason_data_extend; usn_reason_data_truncation; usn_reason_close; log; usn_reason_file_create; dd_setup_,FILE:137,dd_setup_20231115103214_625_Microsoft.VC.14.38.17.8.Prem.HostX64.TargetARM64.Res.base.log File reference: 217894-4 Parent file reference: 132049-2 Update source || shortcuts.ini File reference: 244420-2 Parent file reference: 244415-4 Update source: Update reason: USN_REASON_DATA_EXTEND USN_REASON_CLOSE || SA.DAT File reference: 43115-2 Parent file reference: 5922-1 Update source: Update reason: USN_REASON_DATA_EXTEND USN_REASON_DATA_TRUNCATION USN_REASON_SECURITY
tfidf,agglomerative,37,False,851,num_token; update; source_file; parent; source; reason; usn_reason_file_create; reflection; private; exe; idl; dat,FILE:851,System.Reflection.Context.nuspec File reference: 238596-1 Parent file reference: 222787-1 Update source: Update reason: USN_REASON_FILE_CREATE || System.Private.WinRTInterop.CoreLib.pdb File reference: 238066-1 Parent file reference: 222840-1 Update source: Update reason: USN_REASON_FILE_CREATE || libconcrt1.amd64.pdb File reference: 202614-1 Parent file reference: 202607-1 Update source: Update reason: USN_REASON_FILE_CREATE
tfidf,agglomerative,38,False,1208,num_token; path_token; reg_binary; source_reg; deriveddata; winbuild; componentfamilies; someunparsedversionsexist; dll; mui; exe; aspx,REG:1208,[\DerivedData\VersionedIndex\10.0.22621.378 (WinBuild.160101.0800)\ComponentFamilies\amd64_microsoft-windows-n..meworkapi.resources_31bf3856ad364e35_en-us_b6bfb || [\DerivedData\VersionedIndex\10.0.22621.2715 (WinBuild.160101.0800)\ComponentFamilies\amd64_dual_nete1e3e.inf_31bf3856ad364e35_none_8883b7d2648c44b8] SomeUnpars || [\DerivedData\VersionedIndex\10.0.22621.378 (WinBuild.160101.0800)\ComponentFamilies\amd64_tsusbhub.inf-languagepack_31bf3856ad364e35_en-us_9581d700475fe3f8] So
tfidf,agglomerative,39,False,24,source_webhist; url_token; original; url; http; false; true; persistent; browser_data; _ss; anj; _lr_env_src_ats,WEBHIST:24,Original URL: https://r.bing.com/rp/6zg86aHGTXWfySoaJQRqV18s0QQ.br.css || http://msn.com/ (_SS) Flags: [HTTP only] = False [Persistent] = True || Original URL: https://cdn.stubdownloader.services.mozilla.com/builds/firefox-stub/en-US/win/ef5a2910edab879b9d22df3dbd331af666
tfidf,agglomerative,40,False,307,num_token; reg_dword_le; path_token; source_reg; activationtype; dllpath; threading; reg_sz; hkey_local_machine; trustlevel; reg_expand_sz; activatableclassid,REG:307,[HKEY_LOCAL_MACHINE\Software\WOW6432Node\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Services.Maps.LocalSearch.PlaceInfoHelper] ActivationType: [REG_DWO || [\ActivatableClassId\Microsoft.UI.Xaml.Controls.NonVirtualizingLayoutContext] ActivationType: [REG_DWORD_LE] 0 DllPath: [REG_EXPAND_SZ] Microsoft.UI.Xaml.dll Is || [HKEY_LOCAL_MACHINE\Software\Microsoft\WindowsRuntime\ActivatableClassId\Windows.UI.Xaml.Controls.Maps.MapElementsLayer] ActivationType: [REG_DWORD_LE] 0 DllPat
tfidf,agglomerative,41,False,160,path_token; num_token; systemroot; reg_expand_sz; reg_sz; source_reg; hkey_local_machine; reg_dword_le; description; class; hex_token; reg_binary,REG:160,[HKEY_LOCAL_MACHINE\System\ControlSet001\Services\EventLog\System\Microsoft-Windows-USB-USBXHCI] EventMessageFile: [REG_EXPAND_SZ] %SystemRoot%\system32\drivers || [HKEY_LOCAL_MACHINE\Software\Classes\WOW6432Node\CLSID\{73FDDC80-AEA9-101A-98A7-00AA00374959}\AuxUserType\3] (default): [REG_SZ] WordPad LocalizedString: [REG_E || [HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{69D2CF90-FC33-4FB7-9A0C-EBB0F0FCB43C}] Attributes: [REG_DWORD_LE] 1 C
tfidf,agglomerative,42,False,141,num_token; hex_token; path_token; identifier; installer; reg_dword_le; ps; security; source_evt; provider; source; strings,EVT:57; REG:28; OLECF:26; FILE:13; WEBHIST:11,[2097 / 0x0831] Provider identifier: {d1bc9aff-2abf-4d71-9146-ecb2a986eb85} Source Name: Microsoft-Windows-Windows Firewall With Advanced Security Strings: ['{A || [2097 / 0x0831] Provider identifier: {d1bc9aff-2abf-4d71-9146-ecb2a986eb85} Source Name: Microsoft-Windows-Windows Firewall With Advanced Security Strings: ['{7 || [2097 / 0x0831] Provider identifier: {d1bc9aff-2abf-4d71-9146-ecb2a986eb85} Source Name: Microsoft-Windows-Windows Firewall With Advanced Security Strings: ['{3
