representation,clustering_method,cluster_id,size,is_noise,forensic_cluster_score,top_tokens,top_sources,example_messages
doc2vec,agglomerative,24,4736,False,5,path_token; source_file; directory; sdks; studio; visual; num_token; version; tools; productarch; bootstrapper; neutral,FILE:4727; REG:8; PE:1,NTFS:\Program Files (x86)\Microsoft SDKs\NuGetPackages\System.Net.Http.Rtc\4.0.1\runtimes Type: directory || NTFS:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\system.runtime.interopservices\4.1.0\lib\portable-net45+win8+wpa81 Type: directory || NTFS:\Windows\WinSxS\amd64_microsoft-windows-wordpad_31bf3856ad364e35_10.0.22621.317_none_8ff7098935e85ce4 Type: directory
doc2vec,agglomerative,28,514,False,5,num_token; update; source_file; parent; source; reason; usn_reason_close; usn_reason_file_create; usn_reason_data_extend; hex_token; log; ngen,FILE:514,ebcdic File reference: 201773-1 Parent file reference: 201719-1 Update source: Update reason: USN_REASON_DATA_EXTEND USN_REASON_FILE_CREATE USN_REASON_CLOSE || es File reference: 242206-1 Parent file reference: 226282-1 Update source: Update reason: USN_REASON_FILE_CREATE USN_REASON_CLOSE || gl File reference: 212325-1 Parent file reference: 208390-1 Update source: Update reason: USN_REASON_FILE_CREATE USN_REASON_CLOSE
doc2vec,agglomerative,12,14946,False,4,path_token; source_file; num_token; dll; directory; source_pe; pe; hex_token; import; sdks; dynamic; link,FILE:14275; PE:366; REG:291; OLECF:12; EVT:2,NTFS:\Windows\WinSxS\amd64_userexperience-core_31bf3856ad364e35_10.0.22621.2506_none_9806ba3e46624505\Core\StartMenu\Assets\FileIcons\32\genericfile.svg Type: f || NTFS:\Program Files (x86)\Microsoft SDKs\ClickOnce Bootstrapper\Packages\SqlExpress2008R2\en\eula.rtf Type: file || NTFS:\Windows\WinSxS\amd64_userexperience-core_31bf3856ad364e35_10.0.22621.2506_none_9806ba3e46624505\f\Core\FileExplorerExtensions\Assets\images\contrast-stand
doc2vec,agglomerative,0,3422,False,4,path_token; source_reg; hkey_local_machine; reg_sz; num_token; hex_token; reg_dword_le; reg_binary; systemroot; reg_expand_sz; deriveddata; winbuild,REG:3382; FILE:25; EVT:10; PE:5,[\DerivedData\VersionedIndex\10.0.22621.378 (WinBuild.160101.0800)\ComponentFamilies\amd64_microsoft-windows-n..meworkapi.resources_31bf3856ad364e35_en-us_b6bfb || [HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-n..tprov-dll.resources_31bf3856ad364e35_en-us_14327fa0f || [HKEY_LOCAL_MACHINE\Software\Classes\WOW6432Node\CLSID\{840f3a85-dde5-4503-9529-4cfa8e5ca201}] (default): [REG_SZ] CLSID_PalMediaManager
doc2vec,agglomerative,4,3286,False,4,num_token; path_token; update; hex_token; source_reg; source; source_file; reg_sz; hkey_local_machine; parent; reason; reg_dword_le,REG:1394; FILE:1194; EVT:462; PE:234; LOG:1,ngen.log File reference: 47475-1 Parent file reference: 3532-1 Update source: Update reason: USN_REASON_DATA_EXTEND USN_REASON_CLOSE || [HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{884e2024-217d-11da-b2a4-000e7bbb2b09}\ProgID] (default): [REG_SZ] X509Enrollment.CX509AttributeExtensions.1 || windows.devices.humaninterfacedevice.h File reference: 209404-1 Parent file reference: 208957-1 Update source: Update reason: USN_REASON_DATA_OVERWRITE USN_REAS
doc2vec,agglomerative,13,1995,False,4,path_token; source_file; visual; studio; num_token; tools; explorer; directory; update; hex_token; source_reg; reg_dword_le,FILE:1898; REG:68; EVT:27; PE:2,NTFS:\Program Files\Microsoft Visual Studio\2022\Community\TS\3082\Snippets\General\setter.snippet Type: file || NTFS:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\VC\vcpackages\x86\1033\vcpkgsrvui.dll Type: file || NTFS:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Microsoft\VisualStudio\NodeJs\node_modules\npm\node_modules\@npmcli\name-from-folder\LICENSE 
doc2vec,agglomerative,32,893,False,4,num_token; update; source; source_file; parent; reason; usn_reason_security_change; usn_reason_close; png; scale; targetsize; js,FILE:888; REG:3; EVT:1; PE:1,theme-dark File reference: 212-1 Parent file reference: 211-1 Update source: Update reason: USN_REASON_SECURITY_CHANGE || ro-RO File reference: 135977-2 Parent file reference: 135798-2 Update source: Update reason: USN_REASON_SECURITY_CHANGE || 3bd52.rbf File reference: 184816-2 Parent file reference: 197479-5 Update source: Update reason: USN_REASON_SECURITY_CHANGE USN_REASON_CLOSE
doc2vec,agglomerative,5,748,False,4,path_token; num_token; source_reg; reg_sz; reg_dword_le; policies; path; power; level; applypasses; smisettings; sequencemap,REG:705; EVT:24; LOG:10; LNK:4; AMCACHE:4,[\Power\Policy\Settings\Processor\SchemePersonality\Profile\Validation\33cc3a0d-45ee-43ca-86c4-695bfc9a313b] Description: [REG_SZ] (empty) Display: [REG_SZ] Uti || [\Policies\Start\HideLock\Validation\Values\1] Display: [REG_SZ] Yes || [\Connections\General\Apply] ApplyPasses: [REG_DWORD_LE] 1920
doc2vec,agglomerative,18,649,False,4,num_token; path_token; reg_sz; source_reg; update; hkey_local_machine; source; hex_token; source_file; parent; reason; hkey_current_user,REG:377; FILE:180; EVT:60; WEBHIST:25; PE:7,Original URL: https://r.bing.com/rp/6zg86aHGTXWfySoaJQRqV18s0QQ.br.css || NTFS:\Program Files\Common Files\microsoft shared\ink\el-GR\tipresx.dll.mui Type: file || [HKEY_LOCAL_MACHINE\Software\Classes\ScanProfiles.ScanProfileUI] (default): [REG_SZ] scanprofileui class
doc2vec,agglomerative,29,550,False,4,num_token; path_token; source_reg; driverdatabase; inf; reg_binary; update; net; source_file; source; parent; reason,REG:454; FILE:90; AMCACHE:4; PE:1; EVT:1,[\DriverDatabase\DeviceIds\USB\VID_0DF6&PID_0072] netax88179_178a.inf: [REG_BINARY] (4 bytes) || [HKEY_LOCAL_MACHINE\System\DriverDatabase\DeviceIds\PCI\VEN_8086&DEV_24D3] machine.inf: [REG_BINARY] (4 bytes) || [\DriverDatabase\DeviceIds\PCMCIA\AIWA_CO._LTD._MODEM-PV-JF3356-014E-0088] mdmaiwa4.inf: [REG_BINARY] (4 bytes)
doc2vec,dbscan,0,48354,False,4,num_token; path_token; source_file; update; source_reg; source; reg_sz; parent; reason; hkey_local_machine; hex_token; directory,FILE:33912; REG:12709; EVT:946; PE:743; WEBHIST:25,NTFS:\Windows\WinSxS\amd64_userexperience-core_31bf3856ad364e35_10.0.22621.2506_none_9806ba3e46624505\Core\StartMenu\Assets\FileIcons\32\genericfile.svg Type: f || NTFS:\Program Files (x86)\Microsoft SDKs\ClickOnce Bootstrapper\Packages\SqlExpress2008R2\en\eula.rtf Type: file || NTFS:\Windows\WinSxS\amd64_userexperience-core_31bf3856ad364e35_10.0.22621.2506_none_9806ba3e46624505\f\Core\FileExplorerExtensions\Assets\images\contrast-stand
doc2vec,dbscan,1,9,False,4,num_token; identifier; source_file; tsk; efi; path_token; owner; group; mode; links; directory,FILE:9,TSK:/EFI/Microsoft/Boot/fi-FI/bootmgfw.efi.mui Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o777 Number of links: 1 || TSK:/EFI/Microsoft/Boot/kd_07_1415.dll Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o777 Number of links: 1 || TSK:/EFI/Microsoft/Boot/hr-HR/bootmgr.efi.mui Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o777 Number of links: 1
doc2vec,dbscan,-1,1637,True,1,num_token; path_token; hex_token; reg_dword_le; reg_sz; reg_binary; source; source_reg; update; provider; identifier; bf,REG:773; EVT:424; FILE:375; OLECF:27; WEBHIST:15,NTFS:\Program Files\Microsoft Visual Studio\2022\Community\Licenses\SQL Server\Microsoft SQL Server Data Tools.rtf Type: file || [\CanonicalData\Deployments\dual_mdmsupr3.inf_31bf3856ad364e35_10.0.22621.1_48f54f522a2856ee] CatalogThumbprint: [REG_SZ] 71bcfeba24a3aaec8b22708d60a466d12bd90b || [HKEY_LOCAL_MACHINE\Software\WOW6432Node\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Services.Maps.LocalSearch.PlaceInfoHelper] ActivationType: [REG_DWO
doc2vec,gmm,92,2671,False,5,path_token; source_file; directory; sdks; num_token; visual; studio; neutral; version; productarch; update; kits,FILE:2671,NTFS:\Windows\WinSxS\amd64_userexperience-core_31bf3856ad364e35_10.0.22621.2506_none_9806ba3e46624505\f\Core\FileExplorerExtensions\Assets\images\contrast-stand || NTFS:\Windows\servicing\Packages\Microsoft-Windows-SenseClient-Package~31bf3856ad364e35~amd64~en-US~10.0.22621.2715.mum Type: file || NTFS:\Users\User\AppData\Local\Microsoft\Edge\User Data\Functional SAN Data Type: file
doc2vec,gmm,69,2528,False,5,path_token; source_file; directory; source_pe; pe; dynamic; link; library; dll; import; hex_token; sdks,FILE:2523; PE:3; REG:2,NTFS:\Windows\SysWOW64\wecapi.dll Type: file || NTFS:\Windows\WinSxS\amd64_microsoft-windows-font-bitmap-terminal_31bf3856ad364e35_10.0.22621.1_none_76052498b51abc9b\cga40850.fon Type: file || NTFS:\Windows\WinSxS\amd64_microsoft-windows-shell-grouppolicy_31bf3856ad364e35_10.0.22621.2506_none_f5950f4b6c756811\ShellWelcomeCenter.admx Type: file
doc2vec,gmm,68,2282,False,5,path_token; source_file; dll; source_pe; pe; dynamic; link; library; import; hex_token; source_reg; directory,FILE:2198; PE:62; REG:22,NTFS:\Windows\SysWOW64\hgcpl.dll Type: file || NTFS:\Windows\WinSxS\amd64_microsoft-windows-lanmanworkstation-adm_31bf3856ad364e35_10.0.22621.457_none_e0ca7cfc4b4bf5b7\f\LanmanWorkstation.admx Type: file || NTFS:\Windows\System32\AppVEntSubsystems64.dll Type: file
doc2vec,gmm,75,2169,False,5,path_token; sdks; source_file; directory; source_reg; hkey_local_machine; hex_token; reg_sz; kits; bootstrapper; num_token; msbuild,FILE:2147; REG:22,NTFS:\Program Files (x86)\Microsoft SDKs\NuGetPackages\system.collections.concurrent\4.0.10\ref\net46\_._ Type: file || NTFS:\Program Files (x86)\Microsoft SDKs\NuGetPackages\System.ComponentModel.Annotations\4.0.10\ref\dotnet\zh-hant\System.ComponentModel.Annotations.xml Type: f || NTFS:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\runtime.win10-arm.microsoft.netcore.universalwindowsplatform\6.2.14\runtime.win10-arm.microsoft.netcor
doc2vec,gmm,50,1847,False,5,path_token; source_file; directory; sdks; num_token; source_reg; reg_binary; driverdatabase; inf; hkey_local_machine; reg_expand_sz; systemroot,FILE:1840; REG:6; PE:1,NTFS:\Windows\WinSxS\amd64_userexperience-core_31bf3856ad364e35_10.0.22621.2506_none_9806ba3e46624505\Core\StartMenu\Assets\FileIcons\32\genericfile.svg Type: f || NTFS:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.549981C3F5F10_3.2204.14815.0_x64__8wekyb3d8bbwe\ActivationStore.dat.LOG2 Type: file || NTFS:\Windows\WinSxS\amd64_microsoft-windows-inputprocessors_31bf3856ad364e35_10.0.22621.2506_none_7a1fdc9cf9415426\r\jpndecoder.dll Type: file
doc2vec,gmm,70,1822,False,5,path_token; source_file; directory; sdks; num_token; studio; visual; version; productarch; bootstrapper; neutral; mail,FILE:1822,NTFS:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\system.runtime.interopservices\4.1.0\lib\portable-net45+win8+wpa81 Type: directory || NTFS:\Windows\WinSxS\amd64_microsoft-windows-wordpad_31bf3856ad364e35_10.0.22621.317_none_8ff7098935e85ce4 Type: directory || NTFS:\Windows\WinSxS\x86_netfx4-aspnet_perf_ini_b03f5f7f11d50a3a_4.0.15912.0_none_6a108b5dbec1d188 Type: directory
doc2vec,gmm,76,1723,False,5,path_token; source_file; sdks; directory; source_reg; hkey_local_machine; num_token; reg_sz; visual; studio; hex_token; reg_binary,FILE:1698; REG:23; PE:2,NTFS:\Windows\WinSxS\amd64_microsoft-windows-gpowershell-exe_31bf3856ad364e35_10.0.22621.1_none_9a26eb5695734e34\powershell_ise.exe Type: file || NTFS:\Windows\WinSxS\amd64_microsoft.powershel..resources.resources_31bf3856ad364e35_10.0.22621.1_en-us_e3618904a1e4f559\ArchiveProvider.psd1 Type: file || NTFS:\Windows\WinSxS\amd64_userexperience-core_31bf3856ad364e35_10.0.22621.2506_none_9806ba3e46624505\f\Core\resources.pri Type: file
doc2vec,gmm,7,1711,False,5,path_token; source_file; directory; sdks; num_token; source_reg; hkey_local_machine; visual; studio; dll; source_pe; pe,FILE:1686; REG:19; PE:6,NTFS:\Windows\WinSxS\x86_netfx4-aspnet_webadmin_wizard_res_b03f5f7f11d50a3a_4.0.15912.0_none_249bcdb8c0a553e0\wizardPermission.ascx.resx Type: file || NTFS:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LiveCaptionsDesktop.dll Type: file || NTFS:\Windows\WinSxS\amd64_microsoft-windows-m..ameserver.resources_31bf3856ad364e35_10.0.22621.2506_en-us_be57862f1b75438e\r\FrameServerMonitor.dll.mui Type: f
doc2vec,gmm,23,1618,False,5,path_token; source_file; directory; sdks; num_token; visual; studio; protection; lists; version; productarch; neutral,FILE:1618,NTFS:\Windows\WinSxS\amd64_microsoft-windows-s..card-gids-simulator_31bf3856ad364e35_10.0.22621.2506_none_bd439ad0e820e1d9\f Type: directory || NTFS:\Windows\WinSxS\amd64_microsoft-windows-textinputframework_31bf3856ad364e35_10.0.22621.317_none_d96bab3d2ed59596\f Type: directory || NTFS:\Windows\System32\DriverStore\FileRepository\mdmlasno.inf_amd64_a3aca3273a43a87e Type: directory
doc2vec,gmm,10,1228,False,5,path_token; source_reg; hkey_local_machine; reg_sz; num_token; hex_token; reg_dword_le; reg_expand_sz; systemroot; threadingmodel; sdks; ba,REG:1228,[HKEY_LOCAL_MACHINE\Software\Classes\Interface\{047DEC5A-95C1-4C86-827F-7B8C92EBA67A}\NumMethods] (default): [REG_SZ] 4 || [HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects] (empty) || [HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e96c-e325-11ce-bfc1-08002be10318}\Properties] (empty)
doc2vec,gmm,25,1148,False,5,path_token; source_file; directory; source_pe; pe; dynamic; link; library; dll; import; hex_token,FILE:1147; PE:1,NTFS:\Windows\System32\wbem\wbemsvc.dll Type: file || NTFS:\Windows\WinSxS\Manifests\amd64_microsoft-windows-volsnap_31bf3856ad364e35_10.0.22621.2506_none_3f045b201d0fc7c8.manifest Type: file || NTFS:\Windows\WinSxS\FileMaps\$$_system32_windowspowershell_v1.0_modules_troubleshootingpack_en-us_53560fea81cb8acf.cdf-ms Type: file
doc2vec,gmm,0,985,False,5,path_token; source_file; kits; sdks; directory; source_reg; hkey_local_machine; hex_token; reg_sz; assemblies; certification; kit,FILE:981; REG:4,NTFS:\Program Files (x86)\Windows Kits\10\Include\10.0.22621.0\um\asysta.idl Type: file || NTFS:\Program Files (x86)\Reference Assemblies\Microsoft\Framework\.NETFramework\v4.5.1\System.Data.Linq.xml Type: file || NTFS:\Program Files (x86)\Windows Kits\10\Include\10.0.22621.0\um\LicenseProtection.h Type: file
doc2vec,gmm,38,957,False,5,path_token; source_file; directory; sdks; kits; bootstrapper; visual; studio; dotnet; assemblies; msbuild; source_reg,FILE:956; REG:1,NTFS:\Program Files (x86)\Microsoft SDKs\NuGetPackages\System.Net.Http.Rtc\4.0.1\runtimes Type: directory || NTFS:\Program Files (x86)\Microsoft SDKs\NuGetPackages\System.Runtime.InteropServices.WindowsRuntime\4.0.1\lib\win8 Type: directory || NTFS:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\system.linq.queryable\4.0.1\lib\wp80 Type: directory
doc2vec,gmm,14,935,False,5,path_token; source_reg; num_token; hkey_local_machine; reg_sz; hex_token; reg_dword_le; deriveddata; winbuild; componentfamilies; reg_binary; sdks,REG:935,[\DerivedData\VersionedIndex\10.0.22621.2715 (WinBuild.160101.0800)\ComponentFamilies\amd64_microsoft-windows-c..ophosting.resources_31bf3856ad364e35_en-us_b102 || [\Connections\General\Apply] ApplyPasses: [REG_DWORD_LE] 1920 || [HKEY_LOCAL_MACHINE\Software\Classes\WOW6432Node\Interface\{96C74EF4-185D-4F9A-8A43-4D2723758E0A}\ProxyStubClsid32] (default): [REG_SZ] {C5621364-87CC-4731-8947
doc2vec,gmm,6,914,False,5,path_token; reg_sz; source_reg; hkey_local_machine; num_token; hex_token; reg_dword_le; sdks; enrollment; __fivector_; __fiasyncoperation_; reg_expand_sz,REG:914,[HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{884e2024-217d-11da-b2a4-000e7bbb2b09}\ProgID] (default): [REG_SZ] X509Enrollment.CX509AttributeExtensions.1 || [HKEY_LOCAL_MACHINE\Software\Classes\WOW6432Node\CLSID\{840f3a85-dde5-4503-9529-4cfa8e5ca201}] (default): [REG_SZ] CLSID_PalMediaManager || [HKEY_LOCAL_MACHINE\Software\Classes\WOW6432Node\Interface\{85D18B76-3032-11D4-9348-00C04F8EEB71}] (default): [REG_SZ] IHNetBridgedConnection
doc2vec,gmm,12,860,False,5,path_token; hex_token; reg_sz; source_reg; hkey_local_machine; num_token; sdks; msbuild; kits; dotnet; assemblies; reg_dword_le,REG:853; PE:6; FILE:1,[HKEY_LOCAL_MACHINE\Software\Classes\Interface\{7F254BEB-471F-5000-94CE-102CC333055F}\ProxyStubClsid32] (default): [REG_SZ] {95E15D0A-66E6-93D9-C53C-76E6219D334 || [HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Components\080403D1FBCCDEF5EB6789F84F48E520] B024657CC19C014408294FC94 || [HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Components\315B5DDC16596DF5C99D8B0CC173881E] B024657CC19C014408294FC94
doc2vec,gmm,86,1625,False,4,path_token; num_token; source_file; source_reg; reg_sz; hkey_local_machine; reg_dword_le; hex_token; update; dll; unknown; source,FILE:829; REG:676; PE:107; EVT:11; WEBHIST:1,NTFS:\Program Files (x86)\Microsoft SDKs\ClickOnce Bootstrapper\Packages\SqlExpress2008R2\en\eula.rtf Type: file || NTFS:\ProgramData\Microsoft\VisualStudio\Packages\Android.Manifest-8.0.100.34.0.43 version=34.0.43 machinearch=x64 Type: directory || NTFS:\Windows\System32\Tasks\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan Type: file
doc2vec,gmm,39,1196,False,4,num_token; path_token; source_reg; reg_sz; hkey_local_machine; hex_token; reg_dword_le; update; source_file; reg_binary; source; dll,REG:944; FILE:185; PE:45; EVT:15; WEBHIST:7,NTFS:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\system.reflection.emit.lightweight\4.0.1\ref\netstandard1.0\es Type: directory || [\DerivedData\Components\amd64_microsoft-windows-a..ev-wow64-deployment_31bf3856ad364e35_10.0.22621.2506_none_5e093d4add647bbe] CF: [REG_DWORD_LE] 12 S256H: [RE || [\ActivatableClassId\Microsoft.UI.Xaml.Controls.NonVirtualizingLayoutContext] ActivationType: [REG_DWORD_LE] 0 DllPath: [REG_EXPAND_SZ] Microsoft.UI.Xaml.dll Is
doc2vec,gmm,24,987,False,4,path_token; dll; num_token; source_pe; pe; source_reg; dynamic; link; library; hex_token; import; reg_binary,PE:433; REG:409; FILE:120; WEBHIST:13; OLECF:11,Original URL: https://r.bing.com/rp/6zg86aHGTXWfySoaJQRqV18s0QQ.br.css || NTFS:\Program Files\Microsoft Visual Studio\2022\Community\CoreCon\Binaries\Phone Tools\Debugger\CoreClr\arm\System.Private.Xml.Linq.dll Type: file || PE Type: Dynamic Link Library (DLL) Import hash: 70f4b905376a5f535e79c937936087a6 Export DLL name: dnsrslvr.dll
